episode_hash,operator,lab,num_frames,task,task_description,scene,objects,is_deleted,embodiment,is_eval,eval_score,eval_success,zarr_processed_path,zarr_processing_error,zarr_mp4_path,license,segments,created_at,updated_at,rig_name
692ea696727c13b350cb7c8e,69070e0b9adc5c8f26f55b5a,mecka,136.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea696727c13b350cb7c8e.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea696727c13b350cb7c8e_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692e9f8d39719ab57395b838,6871e269bc1991b1a1e463ba,mecka,170.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692e9f8d39719ab57395b838.zarr,,s3://rldb/processed_v3/mecka/flagship/692e9f8d39719ab57395b838_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea2d3c7cb0e94dc84bb4e,69070e0b9adc5c8f26f55b5a,mecka,107.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea2d3c7cb0e94dc84bb4e.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea2d3c7cb0e94dc84bb4e_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ef4e94215b056bf36e8af,69150bf42756853dcad943f2,mecka,131.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ef4e94215b056bf36e8af.zarr,,s3://rldb/processed_v3/mecka/flagship/692ef4e94215b056bf36e8af_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692e98f140338017b7f997df,6871d82a1aaf88556f0c6041,mecka,112.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692e98f140338017b7f997df.zarr,,s3://rldb/processed_v3/mecka/flagship/692e98f140338017b7f997df_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692e9b461e78e176ba6cf7b1,6903bd580e94ce070afd33cd,mecka,226.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692e9b461e78e176ba6cf7b1.zarr,,s3://rldb/processed_v3/mecka/flagship/692e9b461e78e176ba6cf7b1_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eaff4e2322e3b092b5fb5,6846f7cf9cdf020d4a37a294,mecka,193.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eaff4e2322e3b092b5fb5.zarr,,s3://rldb/processed_v3/mecka/flagship/692eaff4e2322e3b092b5fb5_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea7e32fa9ba56c08f8178,69038b590e94ce070afd2952,mecka,217.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea7e32fa9ba56c08f8178.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea7e32fa9ba56c08f8178_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ed52f245e918729006f3e,690362600e94ce070afd1d30,mecka,205.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ed52f245e918729006f3e.zarr,,s3://rldb/processed_v3/mecka/flagship/692ed52f245e918729006f3e_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eddda4cbe80983737fe07,690366b20e94ce070afd1e8a,mecka,199.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eddda4cbe80983737fe07.zarr,,s3://rldb/processed_v3/mecka/flagship/692eddda4cbe80983737fe07_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eab66d3d807884d4dd7eb,69070e0b9adc5c8f26f55b5a,mecka,135.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eab66d3d807884d4dd7eb.zarr,,s3://rldb/processed_v3/mecka/flagship/692eab66d3d807884d4dd7eb_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea72040338017b7f99951,690366b20e94ce070afd1e8a,mecka,175.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea72040338017b7f99951.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea72040338017b7f99951_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea9bcf169106feb26af1c,68bc72d1fcdaacc405e3db53,mecka,173.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea9bcf169106feb26af1c.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea9bcf169106feb26af1c_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eb29cffdc0ca6345c43b9,69070e0b9adc5c8f26f55b5a,mecka,115.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eb29cffdc0ca6345c43b9.zarr,,s3://rldb/processed_v3/mecka/flagship/692eb29cffdc0ca6345c43b9_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea97aea43f09edf26f5f1,6903686e0e94ce070afd1f24,mecka,104.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea97aea43f09edf26f5f1.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea97aea43f09edf26f5f1_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea1aa3b319da763b71a3f,69070e0b9adc5c8f26f55b5a,mecka,171.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea1aa3b319da763b71a3f.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea1aa3b319da763b71a3f_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea285dfa411398777696a,6871d82a1aaf88556f0c6041,mecka,113.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea285dfa411398777696a.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea285dfa411398777696a_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea8efba0400c70689ff43,6903686e0e94ce070afd1f24,mecka,101.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea8efba0400c70689ff43.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea8efba0400c70689ff43_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eb3e06974927fef249d8d,6903686e0e94ce070afd1f24,mecka,102.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eb3e06974927fef249d8d.zarr,,s3://rldb/processed_v3/mecka/flagship/692eb3e06974927fef249d8d_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eb0b0c609aae267b27a36,6871d82a1aaf88556f0c6041,mecka,94.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eb0b0c609aae267b27a36.zarr,,s3://rldb/processed_v3/mecka/flagship/692eb0b0c609aae267b27a36_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea2fa854d0e0793875b53,69070e0b9adc5c8f26f55b5a,mecka,113.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea2fa854d0e0793875b53.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea2fa854d0e0793875b53_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eae45854d0e0793875c63,6903b590466be157ec64580a,mecka,218.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eae45854d0e0793875c63.zarr,,s3://rldb/processed_v3/mecka/flagship/692eae45854d0e0793875c63_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692eb3e16974927fef249d97,6903686e0e94ce070afd1f24,mecka,115.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692eb3e16974927fef249d97.zarr,,s3://rldb/processed_v3/mecka/flagship/692eb3e16974927fef249d97_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea967727c13b350cb7cd0,6903686e0e94ce070afd1f24,mecka,124.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea967727c13b350cb7cd0.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea967727c13b350cb7cd0_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692e9b2baf371a654ce7fc86,6903bd580e94ce070afd33cd,mecka,172.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692e9b2baf371a654ce7fc86.zarr,,s3://rldb/processed_v3/mecka/flagship/692e9b2baf371a654ce7fc86_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea69daec602a46af105a2,6903686e0e94ce070afd1f24,mecka,108.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea69daec602a46af105a2.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea69daec602a46af105a2_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
692ea3526974927fef249c57,6871d6cd07c5fd75be83e337,mecka,236.0,cup_on_saucer,,,cup,False,human_bimanual,False,-1.0,True,s3://rldb/processed_v3/mecka/flagship/692ea3526974927fef249c57.zarr,,s3://rldb/processed_v3/mecka/flagship/692ea3526974927fef249c57_video.mp4,CC BY-SA 4.0,,2026-07-27 03:38:37.457065+00:00,2026-07-31 21:45:36.954967+00:00,mecka
